Id,course,date,RaceTime,Race,Type,Class,AgeLimit,ran,Distance,Yards,going,Limit,WinTime,Seconds,speed,others,pos1,position,TotalBtn,,distance,CardNo,horsename,Draw,Sp,Age,Stone,Lbs,WeightLBS,Favs,Aid,trainer,Jockey,Allow,OR
44562110,Cheltenham,01/01/2022,14:00,Paddy Power New Year's Day Handicap Chase (Grade 3) (GBB Race),c,1,5YO plus,16,2m 4f 127y,4527,Soft,,5m 23.57s,323.57,13.99079025,13.82,11,11,29.42,29,58.84,9,Espoir De Teillee (FR),,40,10,10,12,152,,,T R George,D E Mullins,,141
44562110,Cheltenham,01/01/2022,14:00,Paddy Power New Year's Day Handicap Chase (Grade 3) (GBB Race),c,1,5YO plus,16,2m 4f 127y,4527,Soft,,5m 23.57s,323.57,13.99079025,13.8,12,12,34.42,34,68.84,5,Riders Onthe Storm,,11,9,11,4,158,,t,Richard Hobson,Nick Scholfield,,147
44562110,Cheltenham,01/01/2022,14:00,Paddy Power New Year's Day Handicap Chase (Grade 3) (GBB Race),c,1,5YO plus,16,2m 4f 127y,4527,Soft,,5m 23.57s,323.57,13.99079025,13.94,9,9,,9,18,7,Zanza,,6,8,11,4,158,,p1,P J Hobbs,T J OBrien,,147
44562110,Cheltenham,01/01/2022,14:00,Paddy Power New Year's Day Handicap Chase (Grade 3) (GBB Race),c,1,5YO plus,16,2m 4f 127y,4527,Soft,,5m 23.57s,323.57,13.99079025,13.94,9,9,,9,18,10,Kauto Riko (FR),,20,11,10,11,151,,t   p1,T R Gretton,J J Burke,,140
44562110,Cheltenham,01/01/2022,14:00,Paddy Power New Year's Day Handicap Chase (Grade 3) (GBB Race),c,1,5YO plus,16,2m 4f 127y,4527,Soft,,5m 23.57s,323.57,13.99079025,13.94,9,9,,9,18,14,Admiral Barratry (FR),,28,9,10,3,143,,v,Mrs L Wadham,Aidan Coleman,,132
44562110,Cheltenham,01/01/2022,14:00,Paddy Power New Year's Day Handicap Chase (Grade 3) (GBB Race),c,1,5YO plus,16,2m 4f 127y,4527,Soft,,5m 23.57s,323.57,13.99079025,13.94,9,9,,9,18,15,High Up In The Air (FR),,50,8,10,2,142,,,G L Moore,J M Davies,,131
44562111,Cheltenham,01/01/2022,14:35,Paddy Power Handicap Hurdle (GBB Race),h,2,4YO plus,14,2m 7f 213y,5273,Soft,,6m 7.30s,367.3,14.35611217,14.36,1,1,0,0,0,4,Dolphin Square,,28,8,11,3,157,,p,P J Hobbs,Mr D Maxwell,3,139
44562111,Cheltenham,01/01/2022,14:35,Paddy Power Handicap Hurdle (GBB Race),h,2,4YO plus,14,2m 7f 213y,5273,Soft,,6m 7.30s,367.3,14.35611217,14.35,2,2,1.25,1,2.5,12,Kansas City Chief,,14,13,10,3,143,,p,N P Mulholland,Victoria Malzard,7,129
44562111,Cheltenham,01/01/2022,14:35,Paddy Power Handicap Hurdle (GBB Race),h,2,4YO plus,14,2m 7f 213y,5273,Soft,,6m 7.30s,367.3,14.35611217,14.33,3,3,4.25,4,8.5,5,Botox Has (FR),,6.5,6,11,6,160,,p,G L Moore,J E Moore,,139
44562111,Cheltenham,01/01/2022,14:35,Paddy Power Handicap Hurdle (GBB Race),h,2,4YO plus,14,2m 7f 213y,5273,Soft,,6m 7.30s,367.3,14.35611217,14.32,4,4,6.25,6,12.5,10,My Bobby Dazzler,,7.5,7,10,10,150,,,Mrs Melanie Rowley,Alex Edwards,3,132
44562111,Cheltenham,01/01/2022,14:35,Paddy Power Handicap Hurdle (GBB Race),h,2,4YO plus,14,2m 7f 213y,5273,Soft,,6m 7.30s,367.3,14.35611217,14.32,5,5,7.5,8,15,13,Art Approval (FR),,5,6,10,9,149,2Fav,,F OBrien,P J Brennan,,128
44562111,Cheltenham,01/01/2022,14:35,Paddy Power Handicap Hurdle (GBB Race),h,2,4YO plus,14,2m 7f 213y,5273,Soft,,6m 7.30s,367.3,14.35611217,14.27,6,6,16.5,17,33,11,Whatsupwithyou,,14,8,10,11,151,,,Ben Pauling,Kielan Woods,,130
44562111,Cheltenham,01/01/2022,14:35,Paddy Power Handicap Hurdle (GBB Race),h,2,4YO plus,14,2m 7f 213y,5273,Soft,,6m 7.30s,367.3,14.35611217,14.25,7,7,21.25,21,42.5,6,Pileon,,4.5,8,11,4,158,Fav,,P J Hobbs,Ben Jones,,137
44562111,Cheltenham,01/01/2022,14:35,Paddy Power Handicap Hurdle (GBB Race),h,2,4YO plus,14,2m 7f 213y,5273,Soft,,6m 7.30s,367.3,14.35611217,14.13,8,8,44.25,44,88.5,2,Stoney Mountain,,22,9,11,8,162,,,Jamie Snowden,G Sheehan,,141
44562111,Cheltenham,01/01/2022,14:35,Paddy Power Handicap Hurdle (GBB Race),h,2,4YO plus,14,2m 7f 213y,5273,Soft,,6m 7.30s,367.3,14.35611217,14.06,9,9,57.25,57,114.5,8,Spiritofthegames,,10,10,11,2,156,,p,D Skelton,Harry Skelton,,135
44562111,Cheltenham,01/01/2022,14:35,Paddy Power Handicap Hurdle (GBB Race),h,2,4YO plus,14,2m 7f 213y,5273,Soft,,6m 7.30s,367.3,14.35611217,14.31,9,9,,9,18,1,Cracking Smart (FR),,80,10,11,7,161,,v1   p,Mrs S Leech,Cillin Leonard,5,145
44562111,Cheltenham,01/01/2022,14:35,Paddy Power Handicap Hurdle (GBB Race),h,2,4YO plus,14,2m 7f 213y,5273,Soft,,6m 7.30s,367.3,14.35611217,14.31,9,9,,9,18,3,Ask Dillon,,12,9,11,5,159,,,F OBrien,Liam Harrison,3,141
44562111,Cheltenham,01/01/2022,14:35,Paddy Power Handicap Hurdle (GBB Race),h,2,4YO plus,14,2m 7f 213y,5273,Soft,,6m 7.30s,367.3,14.35611217,14.31,9,9,,9,18,7,The Mighty Don,,33,10,11,3,157,,,N J Gifford,J M Davies,,136
44562111,Cheltenham,01/01/2022,14:35,Paddy Power Handicap Hurdle (GBB Race),h,2,4YO plus,14,2m 7f 213y,5273,Soft,,6m 7.30s,367.3,14.35611217,14.31,9,9,,9,18,9,Tamar Bridge,,5.5,7,11,1,155,,,Olly Murphy,Adrian Heskin,,134
44562111,Cheltenham,01/01/2022,14:35,Paddy Power Handicap Hurdle (GBB Race),h,2,4YO plus,14,2m 7f 213y,5273,Soft,,6m 7.30s,367.3,14.35611217,14.31,9,9,,9,18,14,Sirobbie,,50,8,10,5,145,,,D G Bridgwater,Brendan Powell,,124
44562112,Cheltenham,01/01/2022,15:10,Dornan Engineering Relkeel Hurdle (Grade 2) (GBB Race),h,1,5YO plus,6,2m 4f 56y,4456,Soft,,5m 8.17s,308.17,14.45955155,14.46,1,1,0,0,0,7,Stormy Ireland (FR),,4,8,10,13,153,,,W P Mullins,D E Mullins,,150
44562112,Cheltenham,01/01/2022,15:10,Dornan Engineering Relkeel Hurdle (Grade 2) (GBB Race),h,1,5YO plus,6,2m 4f 56y,4456,Soft,,5m 8.17s,308.17,14.45955155,14.44,2,2,2.5,3,5,3,Mcfabulous,,4.5,8,11,6,160,,,P F Nicholls,H Cobden,,155
44562112,Cheltenham,01/01/2022,15:10,Dornan Engineering Relkeel Hurdle (Grade 2) (GBB Race),h,1,5YO plus,6,2m 4f 56y,4456,Soft,,5m 8.17s,308.17,14.45955155,14.42,3,3,5.75,6,11.5,2,Guard Your Dreams,,2.5,6,11,6,160,2Fav,,N A Twiston-Davies,Sam Twiston-Davies,,147
44562112,Cheltenham,01/01/2022,15:10,Dornan Engineering Relkeel Hurdle (Grade 2) (GBB Race),h,1,5YO plus,6,2m 4f 56y,4456,Soft,,5m 8.17s,308.17,14.45955155,14.41,4,4,7.25,7,14.5,4,Dans Le Vent (FR),,33,9,11,4,158,,,Evan Williams,Isabel Williams,,142
44562112,Cheltenham,01/01/2022,15:10,Dornan Engineering Relkeel Hurdle (Grade 2) (GBB Race),h,1,5YO plus,6,2m 4f 56y,4456,Soft,,5m 8.17s,308.17,14.45955155,14.4,9,9,,9,18,1,Brewinupastorm,,2.25,9,11,6,160,Fav,t,Olly Murphy,Aidan Coleman,,158
44562112,Cheltenham,01/01/2022,15:10,Dornan Engineering Relkeel Hurdle (Grade 2) (GBB Race),h,1,5YO plus,6,2m 4f 56y,4456,Soft,,5m 8.17s,308.17,14.45955155,14.4,9,9,,9,18,5,On The Blind Side,,14,10,11,4,158,,p,N J Henderson,Nico de Boinville,,150
44562113,Cheltenham,01/01/2022,15:50,"Pony Club ""Junior"" National Hunt Flat Race (A Standard Open NHF Race) (Listed Race) (GBB Race)",b,1,4YO only,15,1m 5f 209y,3069,Soft,,3m 24.91s,204.91,14.97730711,14.98,1,1,0,0,0,15,Poetic Music,,3.5,4,10,5,145,Fav,,F OBrien,P J Brennan,,
44562113,Cheltenham,01/01/2022,15:50,"Pony Club ""Junior"" National Hunt Flat Race (A Standard Open NHF Race) (Listed Race) (GBB Race)",b,1,4YO only,15,1m 5f 209y,3069,Soft,,3m 24.91s,204.91,14.97730711,14.96,2,2,1.5,2,3,13,Iliade Allen (FR),,5,4,10,5,145,,,Nick Williams,Chester Williams,,
44562113,Cheltenham,01/01/2022,15:50,"Pony Club ""Junior"" National Hunt Flat Race (A Standard Open NHF Race) (Listed Race) (GBB Race)",b,1,4YO only,15,1m 5f 209y,3069,Soft,,3m 24.91s,204.91,14.97730711,14.93,3,3,5.25,5,10.5,8,Mamoon Star,,16,4,10,12,152,,,F OBrien,C Brace,,
44562113,Cheltenham,01/01/2022,15:50,"Pony Club ""Junior"" National Hunt Flat Race (A Standard Open NHF Race) (Listed Race) (GBB Race)",b,1,4YO only,15,1m 5f 209y,3069,Soft,,3m 24.91s,204.91,14.97730711,14.92,4,4,6,6,12,6,Idealdes Villerets (FR),,22,4,10,12,152,,,Mrs Melanie Rowley,Alex Edwards,,
44562113,Cheltenham,01/01/2022,15:50,"Pony Club ""Junior"" National Hunt Flat Race (A Standard Open NHF Race) (Listed Race) (GBB Race)",b,1,4YO only,15,1m 5f 209y,3069,Soft,,3m 24.91s,204.91,14.97730711,14.9,5,5,8.25,8,16.5,5,Diamond Egg (FR),,33,4,10,12,152,,,C Gordon,Tom Cannon,,
44562113,Cheltenham,01/01/2022,15:50,"Pony Club ""Junior"" National Hunt Flat Race (A Standard Open NHF Race) (Listed Race) (GBB Race)",b,1,4YO only,15,1m 5f 209y,3069,Soft,,3m 24.91s,204.91,14.97730711,14.88,6,6,10.5,11,21,7,Legionar (GER),,5.5,4,10,12,152,,,M F Harris,Mitchell Bastyan,,
44562113,Cheltenham,01/01/2022,15:50,"Pony Club ""Junior"" National Hunt Flat Race (A Standard Open NHF Race) (Listed Race) (GBB Race)",b,1,4YO only,15,1m 5f 209y,3069,Soft,,3m 24.91s,204.91,14.97730711,14.76,7,7,22.5,23,45,1,Alazwar,,14,4,10,12,152,,,Archie Watson,G Sheehan,,
44562113,Cheltenham,01/01/2022,15:50,"Pony Club ""Junior"" National Hunt Flat Race (A Standard Open NHF Race) (Listed Race) (GBB Race)",b,1,4YO only,15,1m 5f 209y,3069,Soft,,3m 24.91s,204.91,14.97730711,14.76,8,8,22.55,23,45.1,2,A Shining Moon,,40,4,10,12,152,,,Eve Johnson Houghton,Ben Jones,,
44562113,Cheltenham,01/01/2022,15:50,"Pony Club ""Junior"" National Hunt Flat Race (A Standard Open NHF Race) (Listed Race) (GBB Race)",b,1,4YO only,15,1m 5f 209y,3069,Soft,,3m 24.91s,204.91,14.97730711,14.72,9,9,27.3,27,54.6,12,Chic Avenue,,20,4,10,5,145,,,Mrs P Sly,Kielan Woods,,
44562113,Cheltenham,01/01/2022,15:50,"Pony Club ""Junior"" National Hunt Flat Race (A Standard Open NHF Race) (Listed Race) (GBB Race)",b,1,4YO only,15,1m 5f 209y,3069,Soft,,3m 24.91s,204.91,14.97730711,14.67,10,10,32.3,32,64.6,3,Beyond Boundaries,,7.5,4,10,12,152,,,A M Balding,S Bowen,,
44562113,Cheltenham,01/01/2022,15:50,"Pony Club ""Junior"" National Hunt Flat Race (A Standard Open NHF Race) (Listed Race) (GBB Race)",b,1,4YO only,15,1m 5f 209y,3069,Soft,,3m 24.91s,204.91,14.97730711,14.64,11,11,35.3,35,70.6,10,Royal Max (FR),,4,4,10,12,152,2Fav,,N J Henderson,Nico de Boinville,,
44562113,Cheltenham,01/01/2022,15:50,"Pony Club ""Junior"" National Hunt Flat Race (A Standard Open NHF Race) (Listed Race) (GBB Race)",b,1,4YO only,15,1m 5f 209y,3069,Soft,,3m 24.91s,204.91,14.97730711,14.62,12,12,37.55,38,75.1,14,Kimberley Eve,,40,4,10,5,145,,t,Ian Williams,Sam Twiston-Davies,,
44562113,Cheltenham,01/01/2022,15:50,"Pony Club ""Junior"" National Hunt Flat Race (A Standard Open NHF Race) (Listed Race) (GBB Race)",b,1,4YO only,15,1m 5f 209y,3069,Soft,,3m 24.91s,204.91,14.97730711,14.6,13,13,39.3,39,78.6,9,Mr Sundancer,,22,4,10,12,152,,,J G Portman,Charlie Deutsch,,
44562113,Cheltenham,01/01/2022,15:50,"Pony Club ""Junior"" National Hunt Flat Race (A Standard Open NHF Race) (Listed Race) (GBB Race)",b,1,4YO only,15,1m 5f 209y,3069,Soft,,3m 24.91s,204.91,14.97730711,14.6,14,14,39.45,39,78.9,4,Copperkin,,125,4,10,12,152,,,B R Millman,David Noonan,,
44562113,Cheltenham,01/01/2022,15:50,"Pony Club ""Junior"" National Hunt Flat Race (A Standard Open NHF Race) (Listed Race) (GBB Race)",b,1,4YO only,15,1m 5f 209y,3069,Soft,,3m 24.91s,204.91,14.97730711,14.42,15,15,59.45,59,118.9,11,Scud,,80,4,10,12,152,,,J W Mullins,J E Moore,,
44562114,Exeter,01/01/2022,12:40,Happy New Year Novices' Limited Handicap Chase (GBB Race),c,3,5YO plus,5,2m 3f 48y,4228,Heavy (Soft in places),135,5m 1.14s,301.14,14.0399814,14.04,1,1,0,0,0,3,Broken Halo,,4.5,7,11,0,154,,t,P F Nicholls,Lorcan Williams,,127
44562114,Exeter,01/01/2022,12:40,Happy New Year Novices' Limited Handicap Chase (GBB Race),c,3,5YO plus,5,2m 3f 48y,4228,Heavy (Soft in places),135,5m 1.14s,301.14,14.0399814,13.92,2,2,19,19,38,1,Mario De Pail (FR),,3.333333333,7,11,9,163,,,Sam Thomas,Stan Sheppard,,136
44562114,Exeter,01/01/2022,12:40,Happy New Year Novices' Limited Handicap Chase (GBB Race),c,3,5YO plus,5,2m 3f 48y,4228,Heavy (Soft in places),135,5m 1.14s,301.14,14.0399814,13.91,3,3,21.75,22,43.5,4,Clemencia,,22,6,10,12,152,,t,Tim Vaughan,Alan Johns,,125
44562114,Exeter,01/01/2022,12:40,Happy New Year Novices' Limited Handicap Chase (GBB Race),c,3,5YO plus,5,2m 3f 48y,4228,Heavy (Soft in places),135,5m 1.14s,301.14,14.0399814,13.73,4,4,50.75,51,101.5,5,Longshanks,,2,8,10,4,144,JFav,,P J Hobbs,Sean Houlihan,,117
44562114,Exeter,01/01/2022,12:40,Happy New Year Novices' Limited Handicap Chase (GBB Race),c,3,5YO plus,5,2m 3f 48y,4228,Heavy (Soft in places),135,5m 1.14s,301.14,14.0399814,13.98,9,9,,9,18,2,Gustavian,,2,7,11,8,162,JFav,t,A J Honeyball,Rex Dingle,,135
44562115,Exeter,01/01/2022,13:15,"Thurlestone Hotel ""National Hunt"" Maiden Hurdle (GBB Race)",h,4,4YO plus,8,2m 2f 111y,4071,Heavy (Soft in places),,4m 50.20s,290.2,14.02825637,14.03,1,1,0,0,0,4,Dubrovnik Harry,,0.909090909,6,11,5,159,Fav,,Harry Fry,Lorcan Murtagh,3,
44562115,Exeter,01/01/2022,13:15,"Thurlestone Hotel ""National Hunt"" Maiden Hurdle (GBB Race)",h,4,4YO plus,8,2m 2f 111y,4071,Heavy (Soft in places),,4m 50.20s,290.2,14.02825637,13.87,2,2,25,25,50,1,American Gerry,,3,6,11,1,155,2Fav,,H Morrison,Nathan Brennan,7,
44562115,Exeter,01/01/2022,13:15,"Thurlestone Hotel ""National Hunt"" Maiden Hurdle (GBB Race)",h,4,4YO plus,8,2m 2f 111y,4071,Heavy (Soft in places),,4m 50.20s,290.2,14.02825637,13.7,3,3,52,52,104,5,Forever Des Long (FR),,4,7,11,8,162,,,P J Hobbs,Sean Houlihan,,118
44562115,Exeter,01/01/2022,13:15,"Thurlestone Hotel ""National Hunt"" Maiden Hurdle (GBB Race)",h,4,4YO plus,8,2m 2f 111y,4071,Heavy (Soft in places),,4m 50.20s,290.2,14.02825637,13.62,4,4,66,66,132,2,Coolvalla,,125,6,11,8,162,,,C Gordon,Lorcan Williams,,
44562115,Exeter,01/01/2022,13:15,"Thurlestone Hotel ""National Hunt"" Maiden Hurdle (GBB Race)",h,4,4YO plus,8,2m 2f 111y,4071,Heavy (Soft in places),,4m 50.20s,290.2,14.02825637,13.57,5,5,73,73,146,7,South Mountain,,9,6,11,3,157,,t1,Ben Pauling,Luca Morgan,5,
44562115,Exeter,01/01/2022,13:15,"Thurlestone Hotel ""National Hunt"" Maiden Hurdle (GBB Race)",h,4,4YO plus,8,2m 2f 111y,4071,Heavy (Soft in places),,4m 50.20s,290.2,14.02825637,13.37,6,6,107,107,214,3,Coronado Joe,,11,6,11,8,162,,,C Gordon,James Best,,
44562115,Exeter,01/01/2022,13:15,"Thurlestone Hotel ""National Hunt"" Maiden Hurdle (GBB Race)",h,4,4YO plus,8,2m 2f 111y,4071,Heavy (Soft in places),,4m 50.20s,290.2,14.02825637,13.97,9,9,,9,18,6,Message Man,,100,6,11,5,159,,,Harriet Brown,Fergus Gillard,3,
44562115,Exeter,01/01/2022,13:15,"Thurlestone Hotel ""National Hunt"" Maiden Hurdle (GBB Race)",h,4,4YO plus,8,2m 2f 111y,4071,Heavy (Soft in places),,4m 50.20s,290.2,14.02825637,13.97,9,9,,9,18,9,Catch Me Not,,80,7,10,10,150,,,N J Hawke,Kieren Buckley,5,
44562116,Exeter,01/01/2022,13:50,Watch On Racing TV Novices' Hurdle (Novices' Championship Hurdle Series Qualifier) (GBB Race),h,4,4YO plus,9,2m 161y,3681,Heavy (Soft in places),,4m 23.20s,263.2,13.98556231,13.99,1,1,0,0,0,4,Judicial Law,,3,5,11,0,154,2Fav,,Jonjo ONeill,Jonjo ONeill Jr.,,
44562116,Exeter,01/01/2022,13:50,Watch On Racing TV Novices' Hurdle (Novices' Championship Hurdle Series Qualifier) (GBB Race),h,4,4YO plus,9,2m 161y,3681,Heavy (Soft in places),,4m 23.20s,263.2,13.98556231,13.95,2,2,4.75,5,9.5,2,Gamaret (FR),,0.533333333,6,11,0,154,Fav,,Miss V Williams,Lorcan Williams,,
44562116,Exeter,01/01/2022,13:50,Watch On Racing TV Novices' Hurdle (Novices' Championship Hurdle Series Qualifier) (GBB Race),h,4,4YO plus,9,2m 161y,3681,Heavy (Soft in places),,4m 23.20s,263.2,13.98556231,13.78,3,3,29.75,30,59.5,8,Sweet Nightingale,,7,5,10,7,147,,,Miss Polly Gundry,Stan Sheppard,,
44562116,Exeter,01/01/2022,13:50,Watch On Racing TV Novices' Hurdle (Novices' Championship Hurdle Series Qualifier) (GBB Race),h,4,4YO plus,9,2m 161y,3681,Heavy (Soft in places),,4m 23.20s,263.2,13.98556231,13.73,4,4,36.25,36,72.5,1,Advantura,,20,5,11,0,154,,,P J Hobbs,M G Nolan,,
44562116,Exeter,01/01/2022,13:50,Watch On Racing TV Novices' Hurdle (Novices' Championship Hurdle Series Qualifier) (GBB Race),h,4,4YO plus,9,2m 161y,3681,Heavy (Soft in places),,4m 23.20s,263.2,13.98556231,13.7,5,5,41.75,42,83.5,3,Imperial Joe,,66,6,11,0,154,,,T W Dennis,Sean Houlihan,,
44562116,Exeter,01/01/2022,13:50,Watch On Racing TV Novices' Hurdle (Novices' Championship Hurdle Series Qualifier) (GBB Race),h,4,4YO plus,9,2m 161y,3681,Heavy (Soft in places),,4m 23.20s,263.2,13.98556231,13.53,6,6,65.75,66,131.5,7,Liimari,,200,9,10,4,144,,,A G Newcombe,Kevin Jones,3,
44562116,Exeter,01/01/2022,13:50,Watch On Racing TV Novices' Hurdle (Novices' Championship Hurdle Series Qualifier) (GBB Race),h,4,4YO plus,9,2m 161y,3681,Heavy (Soft in places),,4m 23.20s,263.2,13.98556231,13.53,7,7,66.25,66,132.5,9,Christopher Clive,,25,4,10,1,141,,,J Scott,Rex Dingle,,
44562116,Exeter,01/01/2022,13:50,Watch On Racing TV Novices' Hurdle (Novices' Championship Hurdle Series Qualifier) (GBB Race),h,4,4YO plus,9,2m 161y,3681,Heavy (Soft in places),,4m 23.20s,263.2,13.98556231,13.92,9,9,,9,18,6,Time Bandit,,50,5,10,11,151,,,Ben Clarke,Lorcan Murtagh,3,
44562116,Exeter,01/01/2022,13:50,Watch On Racing TV Novices' Hurdle (Novices' Championship Hurdle Series Qualifier) (GBB Race),h,4,4YO plus,9,2m 161y,3681,Heavy (Soft in places),,4m 23.20s,263.2,13.98556231,13.92,9,9,,9,18,5,The Generous Joker,,18,6,11,0,154,,,Mrs S Gardner,Lucy Gardner,,
44562117,Exeter,01/01/2022,14:25,Racing TV Profits Returned To Racing Handicap Chase,c,3,5YO plus,9,3m 54y,5334,Heavy (Soft in places),130,6m 35.75s,395.75,13.47820594,13.48,1,1,0,0,0,2,Le Milos,,7.5,7,11,12,166,,t,Tim Vaughan,Alan Johns,,130
44562117,Exeter,01/01/2022,14:25,Racing TV Profits Returned To Racing Handicap Chase,c,3,5YO plus,9,3m 54y,5334,Heavy (Soft in places),130,6m 35.75s,395.75,13.47820594,13.44,2,2,7.5,8,15,1,Laskalin (FR),,3.5,7,11,5,159,JFav,,Miss V Williams,Miss L M Turner,7,130
44562117,Exeter,01/01/2022,14:25,Racing TV Profits Returned To Racing Handicap Chase,c,3,5YO plus,9,3m 54y,5334,Heavy (Soft in places),130,6m 35.75s,395.75,13.47820594,13.44,3,3,9.5,10,19,7,Tide Times,,11,8,10,7,147,,,Ian Williams,C J Todd,3,114
44562117,Exeter,01/01/2022,14:25,Racing TV Profits Returned To Racing Handicap Chase,c,3,5YO plus,9,3m 54y,5334,Heavy (Soft in places),130,6m 35.75s,395.75,13.47820594,13.35,4,4,29.5,30,59,4,Samuel Jackson,,4.5,10,11,8,162,,p,R Mitford-slade,James Best,,126
44562117,Exeter,01/01/2022,14:25,Racing TV Profits Returned To Racing Handicap Chase,c,3,5YO plus,9,3m 54y,5334,Heavy (Soft in places),130,6m 35.75s,395.75,13.47820594,13.12,5,5,80.5,81,161,3,Dawson City,,25,13,11,2,156,,,Miss Polly Gundry,Miss Chloe Emsley,7,127
44562117,Exeter,01/01/2022,14:25,Racing TV Profits Returned To Racing Handicap Chase,c,3,5YO plus,9,3m 54y,5334,Heavy (Soft in places),130,6m 35.75s,395.75,13.47820594,13.44,9,9,,9,18,5,Gosheven,,12,9,11,8,162,,t,P J Hobbs,M G Nolan,,126
44562117,Exeter,01/01/2022,14:25,Racing TV Profits Returned To Racing Handicap Chase,c,3,5YO plus,9,3m 54y,5334,Heavy (Soft in places),130,6m 35.75s,395.75,13.47820594,13.44,9,9,,9,18,6,Henry Gondoff,,10,7,11,7,161,,p1,Jonjo ONeill,Jonjo ONeill Jr.,,125
44562117,Exeter,01/01/2022,14:25,Racing TV Profits Returned To Racing Handicap Chase,c,3,5YO plus,9,3m 54y,5334,Heavy (Soft in places),130,6m 35.75s,395.75,13.47820594,13.44,9,9,,9,18,8,Tea Time On Mars,,3.5,10,10,6,146,JFav,p,Mrs S Gardner,Lucy Gardner,,110
44562117,Exeter,01/01/2022,14:25,Racing TV Profits Returned To Racing Handicap Chase,c,3,5YO plus,9,3m 54y,5334,Heavy (Soft in places),130,6m 35.75s,395.75,13.47820594,13.44,9,9,,9,18,9,Flowing Cadenza,,7.5,8,10,0,140,,t,R H Buckler,Sean Houlihan,,104
44562118,Exeter,01/01/2022,15:00,Passage House Inn Handicap Chase,c,4,5YO plus,6,2m 3f 48y,4228,Heavy (Soft in places),120,5m 11.20s,311.2,13.58611825,13.59,1,1,0,0,0,4,Chambard (FR),,2.25,10,10,12,152,2Fav,,Miss V Williams,Miss L M Turner,7,110
44562118,Exeter,01/01/2022,15:00,Passage House Inn Handicap Chase,c,4,5YO plus,6,2m 3f 48y,4228,Heavy (Soft in places),120,5m 11.20s,311.2,13.58611825,13.51,2,2,13,13,26,1,Silver In Disguise,,7,8,11,12,166,,t,Tim Vaughan,Alan Johns,,117
44562118,Exeter,01/01/2022,15:00,Passage House Inn Handicap Chase,c,4,5YO plus,6,2m 3f 48y,4228,Heavy (Soft in places),120,5m 11.20s,311.2,13.58611825,13.5,3,3,14.5,15,29,6,Tudors Treasure,,8.5,11,10,8,148,,,Robert Stephens,Lorcan Williams,,99
44562118,Exeter,01/01/2022,15:00,Passage House Inn Handicap Chase,c,4,5YO plus,6,2m 3f 48y,4228,Heavy (Soft in places),120,5m 11.20s,311.2,13.58611825,13.41,4,4,30.5,31,61,2,Keep Rolling,,1.875,9,11,12,166,Fav,t,P J Hobbs,M G Nolan,,117
44562118,Exeter,01/01/2022,15:00,Passage House Inn Handicap Chase,c,4,5YO plus,6,2m 3f 48y,4228,Heavy (Soft in places),120,5m 11.20s,311.2,13.58611825,13.25,5,5,58.5,59,117,3,Dock Road,,3.5,6,11,8,162,,,Ben Pauling,Jonjo ONeill Jr.,,113
44562118,Exeter,01/01/2022,15:00,Passage House Inn Handicap Chase,c,4,5YO plus,6,2m 3f 48y,4228,Heavy (Soft in places),120,5m 11.20s,311.2,13.58611825,13.53,9,9,,9,18,5,Silver Star (FR),,66,9,10,12,152,,t   p,A Sadik,Daniel Sansom,3,106
44562119,Exeter,01/01/2022,15:35,Racing TV HD On Sky 426 Mares' Handicap Hurdle (Challenger Mares' Hurdle Series Qualifier),h,3,4YO plus,7,2m 2f 111y,4071,Heavy (Soft in places),125,4m 52.77s,292.77,13.90511323,13.91,1,1,0,0,0,1,Kissesforkatie,,4.5,8,11,12,166,2Fav,,J Scott,Lorcan Williams,,124
44562119,Exeter,01/01/2022,15:35,Racing TV HD On Sky 426 Mares' Handicap Hurdle (Challenger Mares' Hurdle Series Qualifier),h,3,4YO plus,7,2m 2f 111y,4071,Heavy (Soft in places),125,4m 52.77s,292.77,13.90511323,13.84,2,2,10,10,20,3,Getaweapon,,5,7,11,2,156,,t1,K C Bailey,David Bass,,114
44562119,Exeter,01/01/2022,15:35,Racing TV HD On Sky 426 Mares' Handicap Hurdle (Challenger Mares' Hurdle Series Qualifier),h,3,4YO plus,7,2m 2f 111y,4071,Heavy (Soft in places),125,4m 52.77s,292.77,13.90511323,13.8,3,3,16,16,32,6,Drash On Ruby,,1.25,6,10,3,143,Fav,,J Scott,Rex Dingle,,101
44562119,Exeter,01/01/2022,15:35,Racing TV HD On Sky 426 Mares' Handicap Hurdle (Challenger Mares' Hurdle Series Qualifier),h,3,4YO plus,7,2m 2f 111y,4071,Heavy (Soft in places),125,4m 52.77s,292.77,13.90511323,13.8,4,4,16.5,17,33,7,Daytime Ahead,,18,11,9,7,133,,,C J Down,Mr Jack Martin,7,98
44562119,Exeter,01/01/2022,15:35,Racing TV HD On Sky 426 Mares' Handicap Hurdle (Challenger Mares' Hurdle Series Qualifier),h,3,4YO plus,7,2m 2f 111y,4071,Heavy (Soft in places),125,4m 52.77s,292.77,13.90511323,13.76,5,5,23,23,46,4,Nikap (FR),,11,8,10,12,152,,,Evan Williams,Conor Ring,3,113
